
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:22:58, 20/04/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),00:42:16, 29/04/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),15:32:12, 07/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),18:40:54, 10/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:07:10, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:07:13, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:07:16, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:09:11, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:09:14, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:09:14, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:12:37, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:12:42, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:12:42, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:12:42, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:12:42, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:12:42, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:12:42, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:12:43, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:12:43, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:12:44, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:12:44, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:12:44, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:12:44, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:12:47, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:15:13, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:15:13, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:15:13, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:15:32, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:15:33, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:15:43, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:15:46, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:15:55, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:15:55, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:15:55, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:15:55, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:16:11, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:16:12, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '2', 'jitesh', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('jitesh',),('Electronics and telecommunication engineering',),14:16:12, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:16:12, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '1', 'Nishant', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('Nishant',),('Electronics and telecommunication engineering',),14:25:35, 11/05/2023,Present
('Electronics and telecommunication engineering', 'Digital Electronics', '2022-23', 'Semester-VII', '3', 'sir1', 'B', '516445', 'Male', '24/02/2002', 'jkxdhg2gmail.com', '864869865', 'khgdbsk', 'kxbgdcj', 'Yes'),('516445',),('sir1',),('Electronics and telecommunication engineering',),14:47:47, 11/05/2023,Present
